time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	0.287757	0.0196602	5.19994	0
1477010443050000	0.312243	0.58034	0	0	0	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	0.437515	0.0196827	5.19984	0.00127057
1477010443100000	0.821533	0.530706	1.57367	2.1684e-18	4.36076e-25	lidar	13.7104	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	0.396616	0.0432343	4.73367	0.00328026
1477010443150000	0.821533	0.530706	1.57367	2.1684e-18	4.36076e-25	radar	0	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	0.442647	0.0512268	4.48235	0.00609198
1477010443200000	1.37504	0.574108	3.09538	0.205774	0.0376468	lidar	9.1985	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	0.413255	0.0474104	4.12474	0.274869
1477010443250000	1.37504	0.574108	3.09538	0.205774	0.0376468	radar	0	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	0.433838	0.0448017	3.86794	0.352239
1477010443300000	1.96167	0.623361	4.15676	0.064569	-0.00529576	lidar	6.35295	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	0.408571	0.0421133	3.60288	0.337548
1477010443350000	1.96167	0.623361	4.15676	0.064569	-0.00529576	radar	0	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	0.415054	0.0398533	3.39048	0.325016
1477010443400000	2.50317	0.653824	4.69724	0.0522209	-0.00513826	lidar	2.29498	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	0.395698	0.0404169	3.20098	0.312286
1477010443450000	2.50317	0.653824	4.69724	0.0522209	-0.00513826	radar	0	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	0.399897	0.0404795	3.04087	0.300794
