time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	0.287757	0.0196602	5.19994	0
1477010443050000	0.716273	0.595877	7.22023	1.27656e-17	-1.18335e-17	radar	74.9596	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	0.227443	0.0142108	3.94472	0.00127057
1477010443100000	0.716273	0.595877	7.22023	1.27656e-17	-1.18335e-17	lidar	0	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	0.298017	0.0118714	3.42566	0.00328026
1477010443150000	0.964118	0.533509	7.16692	-0.103285	-0.00593902	radar	0.571962	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	0.331423	0.0350996	3.11967	0.374859
1477010443200000	0.964118	0.533509	7.16692	-0.103285	-0.00593902	lidar	0	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	0.423332	0.0436578	2.9208	0.476433
1477010443250000	1.67917	0.487819	6.10114	-0.111676	-0.248973	radar	6.01519	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	0.396808	0.0614748	2.68962	0.521953
1477010443300000	1.67917	0.487819	6.10114	-0.111676	-0.248973	lidar	0	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	0.409817	0.0719056	2.51155	0.554153
1477010443350000	2.16677	0.553353	5.51034	0.0343467	0.128903	radar	6.43185	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	0.393628	0.0698163	2.35191	0.520687
1477010443400000	2.16677	0.553353	5.51034	0.0343467	0.128903	lidar	0	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	0.408556	0.068401	2.21985	0.492664
1477010443450000	2.71977	0.594494	5.43173	0.0662672	0.20237	radar	0.839119	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	0.393744	0.0651482	2.10716	0.475637
1477010443500000	2.71977	0.594494	5.43173	0.0662672	0.20237	lidar	0	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0189791	0.0757847	0.402233	0.0624947	2.01028	0.460287
1477010443550000	3.28632	0.522705	5.44212	-0.0391109	-0.154503	radar	2.55617	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.0227684	0.0826241	0.388294	0.0664314	1.92603	0.450929
1477010443600000	3.28632	0.522705	5.44212	-0.0391109	-0.154503	lidar	0	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0268996	0.0894504	0.391779	0.0703201	1.85177	0.444125
1477010443650000	3.87472	0.591097	5.46498	0.0353039	0.0934877	radar	2.03389	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0313721	0.0962627	0.378518	0.0688489	1.78594	0.428045
1477010443700000	3.87472	0.591097	5.46498	0.0353039	0.0934877	lidar	0	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0361852	0.10306	0.377414	0.0679787	1.72688	0.413533
1477010443750000	4.41802	0.639537	5.38727	0.0659626	0.142587	radar	1.2456	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0413382	0.10984	0.365941	0.065941	1.67276	0.401947
1477010443800000	4.41802	0.639537	5.38727	0.0659626	0.142587	lidar	0	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0468302	0.116604	0.364268	0.064316	1.62354	0.3909
1477010443850000	4.94441	0.659644	5.25905	0.0662929	0.118337	radar	3.1111	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.0526604	0.123349	0.354375	0.0626842	1.57789	0.380306
1477010443900000	4.94441	0.659644	5.25905	0.0662929	0.118337	lidar	0	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0588279	0.130074	0.353003	0.0615263	1.53592	0.3703
1477010443950000	5.45509	0.679765	5.29884	0.06666	0.0964255	radar	0.971895	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0653316	0.136779	0.344474	0.0603557	1.49728	0.360939
1477010444000000	5.45509	0.679765	5.29884	0.06666	0.0964255	lidar	0	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0721706	0.143463	0.343945	0.059837	1.46146	0.352268
1477010444050000	5.95421	0.565083	5.19926	-0.0175308	-0.0565458	radar	3.28477	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0793437	0.150124	0.336609	0.0702331	1.42789	0.360358
1477010444100000	5.95421	0.565083	5.19926	-0.0175308	-0.0565458	lidar	0	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0868499	0.156761	0.337183	0.0807958	1.39654	0.369948
1477010444150000	6.47457	0.660929	5.15708	0.0372818	0.0333862	radar	1.59186	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0946879	0.163373	0.330556	0.0835315	1.36714	0.367167
1477010444200000	6.47457	0.660929	5.15708	0.0372818	0.0333862	lidar	0	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.102857	0.169959	0.331084	0.0876648	1.33953	0.366036
1477010444250000	6.9871	0.653273	5.04683	0.0243736	0.00782977	radar	3.03631	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.111355	0.176519	0.325109	0.0938717	1.31361	0.369631
1477010444300000	6.9871	0.653273	5.04683	0.0243736	0.00782977	lidar	0	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	0.32582	0.10155	1.28913	0.375029
1477010444350000	7.57139	0.712724	5.20151	0.049694	0.0459699	radar	4.98365	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	0.319962	0.106294	1.26601	0.376185
1477010444400000	7.57139	0.712724	5.20151	0.049694	0.0459699	lidar	0	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	0.318387	0.112782	1.24411	0.379138
1477010444450000	8.08938	0.782009	5.10116	0.0751287	0.0725981	radar	2.87006	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	0.313039	0.116559	1.2232	0.379134
1477010444500000	8.08938	0.782009	5.10116	0.0751287	0.0725981	lidar	0	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	0.311514	0.122256	1.20331	0.38088
1477010444550000	8.60578	1.0258	5.22167	0.18373	0.209056	radar	5.76118	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	0.306608	0.120483	1.18442	0.375209
1477010444600000	8.60578	1.0258	5.22167	0.18373	0.209056	lidar	0	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	0.305096	0.119436	1.16643	0.369531
1477010444650000	9.19093	1.11358	5.28488	0.194269	0.193193	radar	5.83739	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	0.300896	0.117852	1.14942	0.364141
1477010444700000	9.19093	1.11358	5.28488	0.194269	0.193193	lidar	0	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	0.297968	0.117119	1.13322	0.358906
1477010444750000	9.7408	1.30326	5.33581	0.250002	0.238374	radar	2.34246	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	0.294577	0.115758	1.1177	0.355981
1477010444800000	9.7408	1.30326	5.33581	0.250002	0.238374	lidar	0	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	0.291257	0.11419	1.10289	0.352277
1477010444850000	10.2415	1.53977	5.2451	0.32704	0.315637	radar	3.16416	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	0.28817	0.11599	1.08828	0.356103
