time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0
1477010443050000	0.655023	0.547004	8.97812	-2.12274e-17	0	radar	28.1593	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.249819	0.0399994	4.54508	0.00127057
1477010443100000	1.16194	0.489868	8.99529	-0.101302	-0.0247704	lidar	0.155642	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.205409	0.071597	4.29636	0.528316
1477010443150000	1.22463	0.546662	8.53697	0.0942032	0.104484	radar	2.02854	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.194104	0.0676218	4.07023	0.605187
1477010443200000	1.63387	0.598652	8.59219	0.14545	0.246755	lidar	0.0792736	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.173633	0.0604948	3.9288	0.770902
1477010443250000	1.86746	0.574725	5.7861	0.0552764	-0.404798	radar	2.10562	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.159054	0.0563735	3.59428	0.713809
1477010443300000	2.16377	0.608886	5.83938	0.0783091	-0.0876111	lidar	0.157623	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.147264	0.0522233	3.33602	0.67958
1477010443350000	2.36733	0.66179	5.40589	0.175608	0.592915	radar	2.28931	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.138984	0.0526448	3.12089	0.709966
1477010443400000	2.63472	0.688805	5.48423	0.153561	0.26565	lidar	0.0729932	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.131876	0.0562889	2.94336	0.717398
1477010443450000	2.91119	0.660759	5.6201	0.0197732	-0.540824	radar	0.183774	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.125418	0.0555134	2.79556	0.680652
1477010443500000	3.12772	0.653122	5.27926	-0.00703024	-0.552204	lidar	0.879693	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.121481	0.0540228	2.66559	0.650264
