time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0
1477010443050000	0.716273	0.595877	7.22023	1.27656e-17	-1.18335e-17	radar	74.9596	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.227443	0.0142108	3.94472	0.00127057
1477010443100000	1.0918	0.521934	7.27863	-0.37556	-0.0350242	lidar	1.07234	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.186418	0.0466666	3.34627	1.5445
1477010443150000	1.24705	0.542582	6.97261	-0.263609	-0.119822	radar	3.03649	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.174584	0.0497562	2.99758	1.61992
1477010443200000	1.61316	0.499651	6.91474	-0.209437	-0.0584736	lidar	1.08818	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.15661	0.0636315	2.77099	1.58842
1477010443250000	1.85583	0.537945	6.05197	-0.133811	-0.458987	radar	5.80137	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.144088	0.0637812	2.55056	1.48949
1477010443300000	2.1662	0.528947	6.00457	-0.115712	-0.314736	lidar	0.862291	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.133422	0.0655243	2.37912	1.4064
1477010443350000	2.38123	0.604434	5.55298	-0.0131874	-0.0248147	radar	6.58165	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.125538	0.0612958	2.22904	1.31629
1477010443400000	2.65607	0.616991	5.53308	0.00804502	0.0607935	lidar	0.143882	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.118612	0.0578493	2.10458	1.24103
1477010443450000	2.91683	0.633348	5.45899	0.0240472	0.0893053	radar	0.299061	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.112744	0.0552645	1.99833	1.17745
1477010443500000	3.15212	0.641968	5.41402	0.0388887	0.125922	lidar	1.09063	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.108411	0.0532164	1.90647	1.12316
1477010443550000	3.43542	0.552771	5.43824	-0.0755881	-0.23534	radar	1.76093	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.104004	0.0548026	1.82655	1.08613
1477010443600000	3.74186	0.4573	5.50619	-0.171244	-0.462151	lidar	2.69031	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.100148	0.0710177	1.75613	1.0855
1477010443650000	4.01828	0.532725	5.49331	-0.0669161	-0.142316	radar	2.93591	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0971312	0.07386	1.6941	1.05556
1477010443700000	4.29333	0.53444	5.48939	-0.0550289	-0.0991153	lidar	0.141163	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0949851	0.076897	1.63847	1.02757
1477010443750000	4.5509	0.575337	5.41314	-0.0158009	-0.0103483	radar	1.60431	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0930086	0.0771051	1.58751	0.997761
1477010443800000	4.73971	0.687157	5.2839	0.0814071	0.184536	lidar	11.1867	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0903017	0.0749637	1.54026	0.969033
1477010443850000	4.99137	0.689705	5.21053	0.073866	0.151979	radar	2.37073	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.0879075	0.072889	1.49688	0.9421
1477010443900000	5.29386	0.68504	5.26771	0.060924	0.114738	lidar	2.78848	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0857131	0.0709763	1.4571	0.91698
1477010443950000	5.55157	0.694177	5.28764	0.062571	0.108588	radar	1.53837	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0836803	0.069273	1.42043	0.893763
1477010444000000	5.84684	0.706916	5.32861	0.0633289	0.100536	lidar	1.61426	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0826574	0.0677609	1.38663	0.872259
1477010444050000	6.09074	0.640363	5.24468	0.0136268	0.0116968	radar	4.75013	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.081314	0.0700429	1.35488	0.855251
1477010444100000	6.34612	0.746122	5.23806	0.0780654	0.110651	lidar	2.74807	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0800149	0.0686707	1.32519	0.836493
1477010444150000	6.59599	0.780226	5.19642	0.0914204	0.122052	radar	0.532249	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0786531	0.0672717	1.29731	0.818886
1477010444200000	6.84475	0.775749	5.18302	0.0809159	0.0975146	lidar	0.448687	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.0772484	0.0664517	1.27111	0.802648
1477010444250000	7.08835	0.762958	5.09504	0.0656205	0.0668878	radar	3.47646	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.0757956	0.0671456	1.24646	0.788458
1477010444300000	7.30852	0.841924	5.0562	0.105549	0.119963	lidar	2.46453	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.0745034	0.0662041	1.22328	0.773894
1477010444350000	7.59935	0.85657	5.15777	0.102702	0.107047	radar	4.34785	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.0732	0.0657184	1.20124	0.760381
1477010444400000	7.85076	0.830354	5.14678	0.0787991	0.0654343	lidar	0.914041	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.0719453	0.0678153	1.18036	0.749333
1477010444450000	8.10044	0.850162	5.08864	0.0812854	0.0634132	radar	2.42863	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.0707392	0.0706884	1.16053	0.739484
1477010444500000	8.33843	0.862829	5.06831	0.0806337	0.0581129	lidar	0.455073	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.0696258	0.0749253	1.14167	0.73108
1477010444550000	8.60496	0.955681	5.15996	0.122851	0.114873	radar	6.34151	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.0685293	0.0760208	1.12373	0.720743
1477010444600000	8.84235	1.01047	5.13901	0.141719	0.133614	lidar	0.591106	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.0675362	0.0766375	1.10659	0.710535
1477010444650000	9.13059	1.05156	5.1959	0.148418	0.132973	radar	6.69846	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.0666283	0.0774451	1.09033	0.700898
1477010444700000	9.3684	1.07947	5.17027	0.15014	0.126266	lidar	0.712012	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.0656793	0.0791007	1.07475	0.692182
1477010444750000	9.64601	1.15623	5.22353	0.174789	0.151577	radar	4.26496	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.0650003	0.079721	1.05996	0.683162
1477010444800000	9.91805	1.28306	5.25841	0.224251	0.210352	lidar	2.60812	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.064762	0.078772	1.04579	0.673876
1477010444850000	10.1653	1.38112	5.20394	0.258469	0.247516	radar	4.48818	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.0644939	0.0777491	1.03198	0.665244
1477010444900000	10.3907	1.45751	5.17368	0.27751	0.257447	lidar	1.04862	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.063854	0.0768536	1.01867	0.657083
1477010444950000	10.6213	1.55178	5.09082	0.308235	0.289131	radar	3.85155	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.0630916	0.0763759	1.00594	0.649678
1477010445000000	10.849	1.57287	5.0544	0.293967	0.249675	lidar	1.63895	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.0623205	0.0754475	0.993654	0.641793
1477010445050000	11.1144	1.62483	5.09528	0.290548	0.225219	radar	2.07013	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.0616267	0.0745675	0.981753	0.634107
1477010445100000	11.3953	1.66097	5.1287	0.27754	0.190803	lidar	2.1284	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0614542	0.0741018	0.970334	0.626971
1477010445150000	11.6266	1.72001	5.0816	0.283793	0.188456	radar	0.932043	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.06109	0.0740093	0.959269	0.620352
1477010445200000	11.8576	1.7793	5.06128	0.287996	0.181466	lidar	0.386951	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.0606013	0.0744603	0.948577	0.614346
1477010445250000	12.1123	1.87118	5.11933	0.303276	0.186871	radar	1.33268	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.0603481	0.0747106	0.938349	0.608374
1477010445300000	12.3574	1.89091	5.09702	0.282527	0.145485	lidar	0.83909	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.0602294	0.0772457	0.92857	0.604437
1477010445350000	12.6135	1.94936	5.14036	0.279302	0.127947	radar	0.97248	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.0605493	0.0810819	0.919439	0.601722
1477010445400000	12.8123	2.08798	5.10969	0.326448	0.184244	lidar	3.20951	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.0601737	0.0828551	0.9103	0.597156
1477010445450000	13.0781	2.19572	5.20195	0.341134	0.185608	radar	3.41876	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.0604015	0.0842356	0.901899	0.592447
1477010445500000	13.2805	2.33926	5.17554	0.384572	0.232699	lidar	2.38618	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.060091	0.0844561	0.89342	0.586977
1477010445550000	13.4582	2.49606	5.06919	0.441462	0.304821	radar	10.6106	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.0595264	0.0838665	0.884791	0.581306
1477010445600000	13.7084	2.60526	5.09634	0.452826	0.299079	lidar	0.866717	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.0589889	0.0833039	0.876441	0.575796
1477010445650000	13.9273	2.72236	5.07804	0.472681	0.307865	radar	0.175174	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.0584469	0.082726	0.868304	0.57044
1477010445700000	14.1557	2.873	5.10246	0.503891	0.328828	lidar	0.457662	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.0579352	0.0819791	0.860385	0.565327
1477010445750000	14.4064	2.97925	5.16774	0.498968	0.289526	radar	1.61617	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.0576869	0.081306	0.852898	0.560259
1477010445800000	14.6157	3.04425	5.10909	0.487612	0.255873	lidar	2.36472	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.0573425	0.0813499	0.845692	0.555644
