time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0
1477010443050000	0.735518	0.629648	7.19949	-7.65231e-18	-2.54761e-17	radar	74.7775	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.221697	0.0251284	3.93944	0.00127057
1477010443100000	1.1605	0.494955	7.20255	-0.127224	-0.0118511	lidar	0.221196	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.18252	0.0641472	3.4069	0.530733
1477010443150000	1.25809	0.533058	7.18791	0.122937	0.0306239	radar	1.82475	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.169404	0.06502	3.105	0.633063
1477010443200000	1.61574	0.595371	7.20128	0.161667	0.0461558	lidar	0.167752	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.151905	0.058217	2.90545	0.762283
1477010443250000	1.85108	0.561709	6.01752	0.0247703	-0.235527	radar	7.77942	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.14009	0.0556889	2.67324	0.697649
1477010443300000	2.16321	0.590993	6.01701	0.0395214	-0.179596	lidar	0.255022	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.129705	0.0517948	2.49406	0.650308
1477010443350000	2.37919	0.636647	5.62207	0.0540224	-0.354762	radar	6.44274	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.122163	0.0496246	2.33766	0.614866
1477010443400000	2.65704	0.653458	5.61907	0.0425591	-0.331259	lidar	0.00975248	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.115416	0.0490619	2.2084	0.582612
1477010443450000	2.92354	0.646765	5.55561	-0.00635176	-0.490089	radar	0.478914	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.109603	0.0477684	2.0982	0.55393
